date,activeUsers,newUsers,sessions,engagedSessions,screenPageViews,eventCount,userEngagementDuration
2025-12-25,1,1,2,0,2,5,0
2025-12-27,1,1,1,0,1,3,0
2025-12-30,1,1,1,1,1,5,21
2026-01-12,1,1,1,1,1,6,74
2026-01-21,1,1,1,0,1,3,0
2026-01-24,1,0,1,1,1,2,113
2026-01-27,1,1,1,0,1,4,7
2026-01-30,2,2,2,2,2,9,178
2026-01-31,1,1,1,1,1,4,51
2026-02-02,2,2,2,1,2,8,151
2026-02-03,1,0,1,1,1,2,2
2026-02-04,1,0,2,1,2,6,0
2026-02-05,1,1,1,0,1,4,2
2026-02-06,1,0,2,1,1,5,83
2026-02-09,1,0,1,0,1,3,0
2026-02-11,1,0,1,1,1,4,22
2026-02-12,2,1,3,2,2,7,274
2026-02-15,1,1,2,0,1,6,1
2026-02-16,1,1,2,0,1,5,0
2026-02-17,1,1,1,0,1,3,0
2026-02-18,1,1,2,1,1,7,21
2026-02-19,1,1,1,1,1,4,19
2026-02-22,1,1,1,0,1,4,9
2026-02-23,3,2,4,2,3,14,25
2026-02-24,1,1,1,1,1,4,25
2026-03-01,1,0,1,1,1,3,0
2026-03-02,2,2,2,0,2,7,6
2026-03-04,1,0,1,1,1,2,29
2026-03-11,1,1,1,1,1,6,328
2026-03-12,1,0,1,1,1,4,75
2026-03-13,0,0,1,0,0,2,0
2026-03-16,1,1,1,0,1,3,0
2026-03-17,2,2,2,0,2,7,5
2026-03-25,1,1,1,1,1,5,13
2026-03-26,1,1,1,1,1,4,21
2026-04-13,1,1,1,1,1,4,1
2026-04-18,2,2,3,3,2,11,44
2026-04-24,2,2,2,1,6,16,20
2026-04-29,1,0,1,1,1,2,10
2026-05-07,1,0,2,2,3,6,16
2026-05-10,1,1,2,0,1,5,0
2026-05-11,1,1,2,1,3,9,338
2026-05-15,1,1,1,0,1,3,0
2026-05-26,1,1,1,1,1,4,57
2026-05-30,1,1,2,1,2,7,1
2026-06-03,2,2,2,1,3,8,2
2026-06-04,0,0,1,0,0,2,0
2026-06-24,2,2,2,0,2,7,2
2026-07-08,1,1,1,0,1,4,4
2026-07-13,2,1,2,1,3,8,7
2026-07-14,1,0,1,1,1,3,37
2026-07-15,1,1,1,0,1,4,5
2026-07-16,1,1,1,1,2,6,72
2026-07-20,1,1,1,1,1,7,309
2026-07-30,1,1,2,0,1,5,0
2026-08-01,1,1,1,1,1,4,41
2026-08-20,1,1,1,0,1,3,0
